Run Index,Generation,Best Fitness,Genetic Code,Rule,StartingRule
0,1,1163,0,2,1163,0,3,1163,0,4,1163,0,5,1163,0,6,1163,0,7,1163,0,8,1163,0,9,1163,0,10,1163,Run Index,Generation,Best Fitness,Genetic Code,Rule,StartingRule
Run Index,Generation,Best Fitness,Genetic Code
8,1,283
8,2,284
8,3,284
8,4,304
8,5,304
8,6,304
8,7,376
8,8,376
8,9,598
8,10,598
Run Index,Generation,Best Fitness,Genetic Code
9,1,1099
9,2,1099
9,3,1099
9,4,1099
9,5,1099
9,6,1444
9,7,1444
9,8,1444
9,9,1499
9,10,1642
Run Index,Generation,Best Fitness,Genetic Code
10,1,922
10,2,922
10,3,922
10,4,1058
10,5,1284
10,6,1342
10,7,1416
10,8,1666
10,9,1666
10,10,1666
Run Index,Generation,Best Fitness,Genetic Code
11,1,1232
11,2,1232
11,3,1400
11,4,1400
11,5,1450
11,6,1450
11,7,1590
11,8,1700
11,9,1700
11,10,1833
Run Index,Generation,Best Fitness,Genetic Code
12,1,916
12,2,916
12,3,916
12,4,916
12,5,999
12,6,1006
12,7,1340
12,8,1340
12,9,1340
12,10,1600
Run Index,Generation,Best Fitness,Genetic Code
13,1,1590
13,2,1590
13,3,1590
13,4,1590
13,5,1590
13,6,1590
13,7,1750
13,8,1750
13,9,2000
13,10,2000
Run Index,Generation,Best Fitness,Genetic Code
14,1,224
14,2,226
14,3,226
14,4,236
14,5,236
14,6,268
14,7,280
14,8,280
14,9,376
14,10,376
Run Index,Generation,Best Fitness,Genetic Code
15,1,352
15,2,359
15,3,359
15,4,359
15,5,433
15,6,433
15,7,433
15,8,1433
15,9,1433
15,10,1433
Run Index,Generation,Best Fitness,Genetic Code
16,1,260
16,2,380
16,3,380
16,4,498
16,5,539
16,6,539
16,7,539
16,8,539
16,9,942
16,10,942
Run Index,Generation,Best Fitness,Genetic Code
17,1,1433
17,2,1433
17,3,1833
17,4,1833
17,5,1833
17,6,1833
17,7,1833
17,8,1833
17,9,1833
17,10,1833
Run Index,Generation,Best Fitness,Genetic Code
18,1,265
18,2,265
18,3,615
18,4,790
18,5,790
18,6,866
18,7,866
18,8,866
18,9,1025
18,10,1237
Run Index,Generation,Best Fitness,Genetic Code
19,1,1183
19,2,1232
19,3,1232
19,4,1232
19,5,1232
19,6,1232
19,7,1232
19,8,1232
19,9,1232
19,10,1232
Run Index,Generation,Best Fitness,Genetic Code
20,1,1325
20,2,1533
20,3,1533
20,4,1533
20,5,1533
20,6,1700
20,7,1750
20,8,1750
20,9,1750
20,10,1750
Run Index,Generation,Best Fitness,Genetic Code
21,1,1325
21,2,1325
21,3,1325
21,4,1444
21,5,1444
21,6,1444
21,7,1444
21,8,1700
21,9,1700
21,10,1700
Run Index,Generation,Best Fitness,Genetic Code
22,1,220
22,2,220
22,3,220
Run Index,Generation,Best Fitness,Genetic Code
0,1,769
0,2,769
0,3,769
0,4,769
0,5,769
0,6,769
0,7,769
0,8,769
0,9,769
0,10,769
Run Index,Generation,Best Fitness,Genetic Code
1,1,800
1,2,800
1,3,800
1,4,932
1,5,932
1,6,932
1,7,932
1,8,1228
1,9,1228
1,10,1228
Run Index,Generation,Best Fitness,Genetic Code
2,1,902
2,2,902
2,3,1321
2,4,1700
2,5,1700
2,6,1700
2,7,1700
2,8,1700
2,9,1700
2,10,1700
Run Index,Generation,Best Fitness,Genetic Code
0,1,1308
0,2,1308
0,3,1308
0,4,1308
0,5,1308
0,6,1833
0,7,1833
0,8,1833
0,9,2000
0,10,2000
Run Index,Generation,Best Fitness,Genetic Code
1,1,865
1,2,865
1,3,865
