Run Index,Checkpoint A (x),Checkpoint A (y),Checkpoint B (x),Checkpoint B (y),Constraint,Distance
0,41,25,25,41,Minimise,30
0,41,25,8,24,Maximise,37
0,41,25,25,8,Minimise,30
0,25,41,8,24,Minimise,33
0,25,41,25,8,Maximise,32
0,8,24,25,8,Minimise,25
