Run Index,Checkpoint A (x),Checkpoint A (y),Checkpoint B (x),Checkpoint B (y),Constraint,Distance
0,41,25,25,41,Minimise,66
0,41,25,8,24,Maximise,53
0,41,25,25,8,Minimise,53
0,25,41,8,24,Minimise,28
0,25,41,25,8,Maximise,45
0,8,24,25,8,Minimise,27
