Run Index,Checkpoint A (x),Checkpoint A (y),Checkpoint B (x),Checkpoint B (y),Constraint,Distance
0,41,25,25,41,Minimise,20
0,41,25,8,24,Maximise,39
0,41,25,25,8,Minimise,19
0,25,41,8,24,Minimise,22
0,25,41,25,8,Maximise,40
0,8,24,25,8,Minimise,19
