Run Index,Checkpoint A (x),Checkpoint A (y),Checkpoint B (x),Checkpoint B (y),Constraint,Distance
12,41,25,25,41,Minimise,40
12,41,25,25,8,Minimise,31
12,25,41,8,24,Minimise,28
12,8,24,25,8,Minimise,32
