Run Index,Checkpoint A (x),Checkpoint A (y),Checkpoint B (x),Checkpoint B (y),Constraint,Distance
0,41,25,25,41,Minimise,18
0,41,25,25,8,Minimise,34
0,25,41,8,24,Minimise,41
0,8,24,25,8,Minimise,48
