Run Index,Checkpoint A (x),Checkpoint A (y),Checkpoint B (x),Checkpoint B (y),Constraint,Distance
29,41,25,25,41,Minimise,20
29,41,25,25,8,Minimise,16
29,25,41,8,24,Minimise,21
29,8,24,25,8,Minimise,18
